condition,repeat,fold,features,auc,n_words
main,8,4,rhythm,0.8976361767728674,0
main,8,4,combined,0.9990750256937307,1562
main,9,0,lexical,1.0,1538
main,9,0,rhythm,0.9227551020408163,0
main,9,0,combined,0.9998979591836735,1538
main,9,1,lexical,1.0,1467
main,9,1,rhythm,0.9154162384378212,0
main,9,1,combined,1.0,1467
main,9,2,lexical,1.0,1539
main,9,2,rhythm,0.8981500513874615,0
main,9,2,combined,1.0,1539
main,9,3,lexical,0.989825282631038,1586
main,9,3,rhythm,0.8673175745118191,0
main,9,3,combined,0.9901336073997944,1586
main,9,4,lexical,0.9993833504624872,1553
main,9,4,rhythm,0.9015416238437821,0
main,9,4,combined,0.9997944501541625,1553
main,10,0,lexical,1.0,1570
main,10,0,rhythm,0.9027551020408164,0
main,10,0,combined,1.0,1570
main,10,1,lexical,0.9927029804727646,1556
main,10,1,rhythm,0.8870503597122301,0
main,10,1,combined,0.993627954779034,1556
main,10,2,lexical,0.9991778006166495,1554
main,10,2,rhythm,0.8896197327852003,0
main,10,2,combined,0.999486125385406,1554
main,10,3,lexical,0.9993833504624872,1544
main,10,3,rhythm,0.8685508735868449,0
main,10,3,combined,0.9986639260020556,1544
main,10,4,lexical,0.9997944501541625,1511
main,10,4,rhythm,0.9341212744090442,0
main,10,4,combined,1.0,1511
main,11,0,lexical,0.9991836734693877,1552
main,11,0,rhythm,0.8909183673469387,0
main,11,0,combined,0.9988775510204081,1552
main,11,1,lexical,0.999486125385406,1500
main,11,1,rhythm,0.9115107913669065,0
main,11,1,combined,0.9993833504624872,1500
main,11,2,lexical,0.9986639260020556,1538
main,11,2,rhythm,0.9044193216855086,0
main,11,2,combined,1.0,1538
main,11,3,lexical,0.9915724563206578,1527
main,11,3,rhythm,0.9135662898252827,0
main,11,3,combined,0.9913669064748202,1527
main,11,4,lexical,1.0,1576
main,11,4,rhythm,0.8748201438848922,0
main,11,4,combined,1.0,1576
main,12,0,lexical,0.9995918367346939,1525
main,12,0,rhythm,0.8973469387755103,0
main,12,0,combined,1.0,1525
main,12,1,lexical,1.0,1516
main,12,1,rhythm,0.8918807810894142,0
main,12,1,combined,0.9993833504624872,1516
main,12,2,lexical,1.0,1549
main,12,2,rhythm,0.9031860226104831,0
main,12,2,combined,1.0,1549
main,12,3,lexical,0.9992805755395684,1489
main,12,3,rhythm,0.8717368961973279,0
main,12,3,combined,1.0,1489
