dataset,features,acc_mean,acc_sd,f1_mean,f1_sd
ai6_nollama,lexical,0.9079999999999999,0.03941704838903725,0.9067379442820283,0.04043301941049025
ai6_nollama,rhythm,0.502,0.0579990421376844,0.49225699781473997,0.05617376324716041
ai7,lexical,0.9205714285714286,0.037588896898792176,0.9196486410110816,0.038441294602377586
ai7,rhythm,0.5085714285714286,0.06468132241526726,0.49506059789317675,0.060437674729565634
