word,old_excess_score,old_sig_bonferroni,old_direction,ai_doc_count,human_doc_count,p_ai,q_human,ratio_r,delta,r_ci_low,r_ci_high,delta_ci_low,delta_ci_high,chi2_doc,p_value,q_fdr,p_bonferroni,sig_fdr,sig_bonferroni,new_direction,survives_fdr,survives_bonferroni,survives_ci
プラクティス-practice,16.4724,True,excess,162,49,0.464387,0.071327,6.5107,0.393061,4.9474,8.9318,0.337499,0.447247,221.8347,3.5990555309714557e-50,1.2121619028311863e-47,6.060809514155932e-47,True,True,excess,True,True,True
再発,15.5492,True,excess,12,4,0.037037,0.007133,5.1926,0.029904,2.2468,15.9772,0.011384,0.051278,10.8608,0.00098220694834974,0.003007339092765386,1.0,True,False,excess,True,False,True
プレフィックス-prefix,15.5492,True,excess,7,3,0.022792,0.005706,3.9943,0.017086,1.4242,17.9744,0.002841,0.03418,4.5559,0.03280572063321619,0.06590446401215833,1.0,False,False,excess,False,False,True
Risk,15.5492,True,excess,2,1,0.008547,0.002853,2.9957,0.005694,0.6657,9.9858,-0.001431,0.015667,0.3761,0.5397116220637919,0.6782644563846458,1.0,False,False,excess,False,False,False
側面,15.4101,True,excess,19,15,0.05698,0.022825,2.4964,0.034156,1.2981,4.8824,0.008506,0.06127,7.0253,0.008036693284069316,0.019614190565757576,1.0,True,False,excess,True,False,True
finally,15.2115,True,excess,15,3,0.045584,0.005706,7.9886,0.039878,3.3286,31.9544,0.018512,0.06267,18.3775,1.811807627996609e-05,8.475233459850804e-05,0.030510840455462894,True,True,excess,True,True,True
実践,15.0185,True,excess,156,60,0.447293,0.087019,5.1402,0.360275,3.9943,6.8367,0.307558,0.414501,182.8753,1.141985908555052e-41,2.7472918142952965e-39,1.9231042700067075e-38,True,True,excess,True,True,True
ペネトレーションテスト,14.7612,True,excess,8,2,0.025641,0.00428,5.9915,0.021361,1.9972,23.9658,0.007116,0.039918,7.8876,0.004977431508287282,0.012816505596262665,1.0,True,False,excess,True,False,True
Prettier,14.3671,True,excess,13,2,0.039886,0.00428,9.32,0.035606,3.6614,31.9544,0.017086,0.054163,17.1196,3.509886521667774e-05,0.0001539231485023055,0.05910648902488531,True,False,excess,True,False,True
documentation,14.3671,True,excess,2,4,0.008547,0.007133,1.1983,0.001414,0.2853,4.66,-0.007137,0.011392,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
直結,13.8605,True,excess,22,7,0.065527,0.011412,5.7418,0.054115,2.9049,15.5878,0.029896,0.082644,22.3456,2.2773270511916532e-06,1.2740926093710113e-05,0.003835018754206744,True,True,excess,True,True,True
レジストリー-registry,13.7413,True,excess,29,9,0.08547,0.014265,5.9915,0.071205,3.281,13.9801,0.042714,0.099738,30.8022,2.8570669388057162e-08,2.1010046833837668e-07,4.811300724948826e-05,True,True,excess,True,True,True
一朝,13.185,False,excess,6,2,0.019943,0.00428,4.66,0.015663,1.4979,15.9772,0.002841,0.031327,4.5503,0.03291309633861351,0.06590446401215833,1.0,False,False,excess,False,False,True
一夕,13.185,False,excess,6,2,0.019943,0.00428,4.66,0.015663,1.4979,15.9772,0.002841,0.031327,4.5503,0.03291309633861351,0.06590446401215833,1.0,False,False,excess,False,False,True
底上げ,13.185,False,excess,6,2,0.019943,0.00428,4.66,0.015663,1.4979,15.9772,0.002841,0.031371,4.5503,0.03291309633861351,0.06590446401215833,1.0,False,False,excess,False,False,True
順守,12.791,True,excess,21,10,0.062678,0.015692,3.9943,0.046986,1.9972,8.5616,0.021337,0.07548,15.4605,8.424827657486109e-05,0.00034022565408169326,0.14187409775206608,True,False,excess,True,False,True
潜在,12.6119,True,excess,17,20,0.051282,0.029957,1.7118,0.021325,0.8876,3.1954,-0.00291,0.048397,2.1886,0.1390348362425654,0.224266919762912,1.0,False,False,excess,False,False,False
後方,12.397,True,excess,12,4,0.037037,0.007133,5.1926,0.029904,1.9972,17.9993,0.011384,0.05127,10.8608,0.00098220694834974,0.003007339092765386,1.0,True,False,excess,True,False,True
築く,12.2394,True,excess,13,5,0.039886,0.008559,4.66,0.031327,1.9972,14.9786,0.011376,0.051278,10.7467,0.0010446375914302955,0.003181138705187374,1.0,True,False,excess,True,False,True
Prometheus,12.2394,True,excess,13,2,0.039886,0.00428,9.32,0.035606,3.709,33.9516,0.017086,0.056976,17.1196,3.509886521667774e-05,0.0001539231485023055,0.05910648902488531,True,False,excess,True,False,True
戦略,12.1966,True,excess,99,68,0.2849,0.098431,2.8944,0.186469,2.2188,3.8792,0.132338,0.23778,58.788,1.756126654499714e-14,3.2497992155796905e-13,2.957317286177518e-11,True,True,excess,True,True,True
チームワーク-teamwork,12.003,True,excess,9,3,0.02849,0.005706,4.9929,0.022784,1.7475,17.9744,0.007108,0.041304,7.6815,0.005578856955798612,0.01414878782163383,1.0,True,False,excess,True,False,True
レトロスペクティブ-retrospective,11.8341,True,excess,16,5,0.048433,0.008559,5.6586,0.039874,2.4399,15.9939,0.015655,0.062666,15.7981,7.047305764553578e-05,0.000288050070570588,0.11867662907508225,True,False,excess,True,False,True
Policy,11.6089,True,excess,15,5,0.045584,0.008559,5.3257,0.037025,2.3603,16.9758,0.017038,0.059817,14.0743,0.0001757255288393314,0.0006620174285580182,0.2959217905654341,True,False,excess,True,False,True
Site,11.6089,True,excess,6,3,0.019943,0.005706,3.495,0.014237,1.1983,13.9801,0.001414,0.028486,3.152,0.0758331590521666,0.13761103431449198,1.0,False,False,excess,False,False,True
