word,old_excess_score,old_sig_bonferroni,old_direction,ai_doc_count,human_doc_count,p_ai,q_human,ratio_r,delta,r_ci_low,r_ci_high,delta_ci_low,delta_ci_high,chi2_doc,p_value,q_fdr,p_bonferroni,sig_fdr,sig_bonferroni,new_direction,survives_fdr,survives_bonferroni,survives_ci
心構え,3.7283,False,excess,5,5,0.017094,0.008559,1.9972,0.008535,0.6657,6.6655,-0.004288,0.025633,0.6184,0.43164641674767323,0.5687735256675132,1.0,False,False,excess,False,False,False
レトロ-retro,3.7283,False,excess,3,2,0.011396,0.00428,2.6629,0.007116,0.6657,9.9858,-0.002857,0.018512,0.628,0.42809339661910784,0.5676451022886437,1.0,False,False,excess,False,False,False
ション-外国,3.7283,False,excess,1,4,0.005698,0.007133,0.7989,-0.001435,0.2496,2.9957,-0.008563,0.007116,0.0251,0.8740693647788055,0.9671043431586783,1.0,False,False,deficit,False,False,False
目標,3.6791,True,excess,46,82,0.133903,0.118402,1.1309,0.015501,0.7854,1.563,-0.027298,0.056822,0.3214,0.5707629001518892,0.7114468718399567,1.0,False,False,excess,False,False,False
最も,3.6746,True,excess,45,92,0.131054,0.132668,0.9878,-0.001613,0.692,1.3477,-0.044413,0.042548,0.001,0.9741584774492287,1.0,1.0,False,False,deficit,False,False,False
Pull,3.6439,True,excess,22,21,0.065527,0.031384,2.0879,0.034143,1.1705,3.7284,0.007063,0.064056,5.6045,0.01791421861534745,0.03928065644302748,1.0,True,False,excess,True,False,True
Dockerfile,3.6121,True,excess,38,37,0.111111,0.054208,2.0497,0.056903,1.3664,3.1157,0.021292,0.091103,10.0962,0.00148579100429884,0.004359010542228652,1.0,True,False,excess,True,False,True
Security,3.5988,True,excess,25,28,0.074074,0.041369,1.7905,0.032705,1.0894,2.9957,0.004206,0.064099,4.1754,0.04101536607878784,0.08031380985660318,1.0,False,False,excess,False,False,True
キャッチ-catch,3.5672,True,excess,23,52,0.068376,0.075606,0.9044,-0.00723,0.5548,1.4269,-0.037218,0.025603,0.1454,0.7029855908419402,0.8311006064490277,1.0,False,False,deficit,False,False,False
ポジティブ-positive,3.5653,True,excess,16,12,0.048433,0.018545,2.6117,0.029888,1.3314,5.4936,0.008502,0.054107,6.279,0.012217368527782461,0.028012542155387954,1.0,True,False,excess,True,False,True
カバレッジ-coverage,3.5624,True,excess,34,20,0.099715,0.029957,3.3286,0.069758,1.9972,5.8253,0.038407,0.103938,21.1063,4.344972556648334e-06,2.3009225740238347e-05,0.007316933785395795,True,True,excess,True,True,True
テスト-test,3.5545,True,excess,180,262,0.51567,0.375178,1.3745,0.140491,1.1983,1.5914,0.077769,0.206039,18.1923,1.9968244942119446e-05,9.137642522426399e-05,0.033626524482529146,True,True,excess,True,True,True
差異,3.5392,True,excess,18,19,0.054131,0.028531,1.8973,0.0256,0.9986,3.495,-5.7e-05,0.052672,3.3652,0.0665872947327005,0.12322308168117324,1.0,False,False,excess,False,False,False
セッション-session,3.5134,True,excess,28,46,0.082621,0.067047,1.2323,0.015574,0.7913,1.8893,-0.015777,0.049778,0.5252,0.4686365585620339,0.6075319204145228,1.0,False,False,excess,False,False,False
OWASP,3.4977,True,excess,18,9,0.054131,0.014265,3.7946,0.039866,1.8545,8.7875,0.015647,0.065511,12.3595,0.0004387524275282389,0.00148963525797894,0.7388590879575543,True,False,excess,True,False,True
Try,3.4919,True,excess,2,9,0.008547,0.014265,0.5991,-0.005718,0.1664,1.7127,-0.017122,0.00569,0.5627,0.4531690846881774,0.5911206340936411,1.0,False,False,deficit,False,False,False
構築,3.4749,True,excess,165,205,0.472934,0.293866,1.6094,0.179069,1.3674,1.8842,0.116322,0.244616,31.826,1.6861704331128936e-08,1.3025279859459233e-07,2.8395110093621128e-05,True,True,excess,True,True,True
Release,3.4657,True,excess,4,11,0.014245,0.017118,0.8321,-0.002873,0.2346,1.9972,-0.017123,0.01138,0.0761,0.7826720024770065,0.8958869225540558,1.0,False,False,deficit,False,False,False
活用,3.4263,True,excess,183,165,0.524217,0.236805,2.2137,0.287412,1.8537,2.6265,0.224726,0.347281,85.532,2.279794343039176e-20,7.8350483136285155e-19,3.8391736736779726e-17,True,True,excess,True,True,True
検査,3.406,True,excess,1,15,0.005698,0.022825,0.2496,-0.017127,0.0951,0.7136,-0.028539,-0.0043,4.1968,0.04050121558427581,0.07939935627930206,1.0,False,False,deficit,False,False,False
典型,3.3906,False,excess,13,10,0.039886,0.015692,2.5418,0.024194,1.2199,5.5949,0.004243,0.045568,4.673,0.030640120766264076,0.06284648846603262,1.0,False,False,excess,False,False,True
最小,3.3677,True,excess,73,70,0.210826,0.101284,2.0815,0.109542,1.5362,2.7629,0.06254,0.155143,22.4661,2.1388036058387494e-06,1.225083425929406e-05,0.003601745272232454,True,True,excess,True,True,True
コンテナ-container,3.3491,True,excess,56,92,0.162393,0.132668,1.2241,0.029726,0.89,1.6341,-0.015903,0.075326,1.346,0.24598435889026077,0.36273000032504304,1.0,False,False,excess,False,False,False
ドキュメンテーション-documentation,3.345,True,excess,18,10,0.054131,0.015692,3.4496,0.038439,1.7475,7.1897,0.017062,0.062658,11.0124,0.0009050368311698875,0.002806780890773647,1.0,True,False,excess,True,False,True
目安,3.3343,False,excess,11,9,0.034188,0.014265,2.3966,0.019923,1.0751,5.9915,0.001398,0.041288,3.3704,0.06637566188672939,0.12296657273625115,1.0,False,False,excess,False,False,True
Markdown,3.3343,False,excess,11,7,0.034188,0.011412,2.9957,0.022776,1.1983,7.9886,0.002829,0.04134,5.1508,0.02323567345313273,0.049156877003863717,1.0,True,False,excess,True,False,True
防止,3.3231,True,excess,25,25,0.074074,0.03709,1.9972,0.036984,1.1234,3.4694,0.005633,0.068331,5.7986,0.016038712303926166,0.03567924903541831,1.0,True,False,excess,True,False,True
簡潔,3.3111,True,excess,23,30,0.068376,0.044223,1.5462,0.024154,0.8622,2.5889,-0.007202,0.055501,2.0889,0.14836977215560457,0.23660482605117245,1.0,False,False,excess,False,False,False
ZAP,3.2985,False,excess,8,1,0.025641,0.002853,8.9872,0.022788,2.9957,25.963,0.00712,0.039917,10.2125,0.0013948922933053017,0.004113832963093044,1.0,True,False,excess,True,False,True
全員,3.2851,True,excess,44,57,0.128205,0.082739,1.5495,0.045466,1.0669,2.1643,0.006974,0.083934,4.7667,0.029015774341561777,0.06017557141772171,1.0,False,False,excess,False,False,True
Logging,3.2555,False,excess,6,3,0.019943,0.005706,3.495,0.014237,0.9986,13.9801,-4e-06,0.029908,3.152,0.0758331590521666,0.13761103431449198,1.0,False,False,excess,False,False,False
手順,3.2434,True,excess,73,132,0.210826,0.189729,1.1112,0.021097,0.8577,1.4098,-0.030186,0.070993,0.4736,0.4913570640576621,0.6297148370419353,1.0,False,False,excess,False,False,False
悪意,3.2434,True,excess,21,20,0.062678,0.029957,2.0923,0.032721,1.1519,3.8698,0.005645,0.061254,5.3333,0.020922326695346764,0.0451707668653384,1.0,True,False,excess,True,False,True
バグ-bug,3.223,True,excess,104,97,0.299145,0.1398,2.1398,0.159345,1.6857,2.709,0.106596,0.213488,36.8879,1.251208035318061e-09,1.1705746285975637e-08,2.1070343314756145e-06,True,True,excess,True,True,True
Git,3.2164,True,excess,69,84,0.19943,0.121255,1.6447,0.078175,1.2104,2.2131,0.028303,0.128047,10.5437,0.0011658326947397298,0.003512097062507522,1.0,True,False,excess,True,False,True
評価,3.2156,True,excess,44,102,0.128205,0.146933,0.8725,-0.018728,0.6102,1.1812,-0.061459,0.024024,0.6215,0.4304814471299615,0.5687735256675132,1.0,False,False,deficit,False,False,False
態度,3.203,False,excess,4,7,0.014245,0.011412,1.2482,0.002833,0.3329,3.495,-0.009998,0.017086,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
pipeline,3.203,False,excess,1,5,0.005698,0.008559,0.6657,-0.002861,0.1997,1.9972,-0.011416,0.00569,0.1886,0.6641031261499244,0.7954122791155567,1.0,False,False,deficit,False,False,False
チーム-team,3.1768,True,excess,146,254,0.418803,0.363766,1.1513,0.055037,0.9873,1.3567,-0.004887,0.121944,2.6901,0.10097219736554879,0.170891638556366,1.0,False,False,excess,False,False,False
ステータス-status,3.1767,True,excess,41,44,0.119658,0.064194,1.864,0.055464,1.2139,2.8301,0.016984,0.093991,8.527,0.0034990645662354284,0.009473351655209744,1.0,True,False,excess,True,False,True
考慮,3.1721,True,excess,85,103,0.245014,0.148359,1.6515,0.096655,1.3079,2.0852,0.049593,0.145088,13.8988,0.00019292330123706178,0.0007171806606693422,0.32488283928321204,True,False,excess,True,False,True
従属,3.1609,True,excess,20,6,0.059829,0.009986,5.9915,0.049843,2.8826,16.9841,0.024202,0.078333,20.8282,5.023655124811121e-06,2.6110602562289902e-05,0.008459835230181928,True,True,excess,True,True,True
整合,3.1373,True,excess,38,56,0.111111,0.081312,1.3665,0.029799,0.8905,1.9595,-0.010135,0.06686,1.9995,0.15735320548682952,0.24834376573553976,1.0,False,False,excess,False,False,False
作り上げる,3.1373,False,excess,7,8,0.022792,0.012839,1.7752,0.009953,0.6657,4.7932,-0.005722,0.027091,0.6848,0.4079446987715286,0.5465225717830184,1.0,False,False,excess,False,False,False
明文,3.1373,False,excess,7,6,0.022792,0.009986,2.2825,0.012806,0.8559,6.6572,-0.001447,0.028521,1.6454,0.19959009957225926,0.30495046425181144,1.0,False,False,excess,False,False,False
未然,3.1373,False,excess,7,6,0.022792,0.009986,2.2825,0.012806,0.7989,5.602,-0.002865,0.029908,1.6454,0.19959009957225926,0.30495046425181144,1.0,False,False,excess,False,False,False
Method,3.1373,False,excess,2,6,0.008547,0.009986,0.8559,-0.001439,0.2219,2.9957,-0.011424,0.009965,0.0157,0.900144405441971,0.9907849288407111,1.0,False,False,deficit,False,False,False
共有,3.1245,True,excess,127,189,0.364672,0.271041,1.3454,0.093631,1.1184,1.6174,0.033781,0.153493,9.1269,0.0025187723353060167,0.007010929938273277,1.0,True,False,excess,True,False,True
デバッグ-debug,3.1116,True,excess,35,36,0.102564,0.052782,1.9432,0.049782,1.2635,2.8924,0.015582,0.082607,7.9778,0.00473535705292428,0.012382517511062868,1.0,True,False,excess,True,False,True
完璧,3.1116,True,excess,19,17,0.05698,0.025678,2.2191,0.031302,1.1561,4.4385,0.004235,0.058374,5.4688,0.019359467327368377,0.04201203992176333,1.0,True,False,excess,True,False,True
違反,3.1116,True,excess,9,19,0.02849,0.028531,0.9986,-4.1e-05,0.4539,1.9972,-0.018582,0.019919,0.0,1.0,1.0,1.0,False,False,deficit,False,False,False
PUT,3.1025,True,excess,32,29,0.094017,0.042796,2.1969,0.051221,1.3152,3.7644,0.015611,0.088254,9.7661,0.0017775559672574984,0.005120663637779635,1.0,True,False,excess,True,False,True
スケジューリング-scheduling,3.0979,False,excess,2,8,0.008547,0.012839,0.6657,-0.004292,0.1816,1.7118,-0.014274,0.00569,0.3155,0.5743216974549217,0.7142967049587061,1.0,False,False,deficit,False,False,False
Quality,3.0979,False,excess,3,5,0.011396,0.008559,1.3314,0.002837,0.3067,4.66,-0.008563,0.015659,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
交換,3.0836,True,excess,16,17,0.048433,0.025678,1.8862,0.022755,0.9586,3.8282,-0.001459,0.049827,2.851,0.09131908548600859,0.158374191512295,1.0,False,False,excess,False,False,False
testing,3.0762,True,excess,4,14,0.014245,0.021398,0.6657,-0.007153,0.1997,1.5977,-0.022829,0.008527,0.5723,0.4493420267826058,0.5870379930969032,1.0,False,False,deficit,False,False,False
表わす,2.9934,True,excess,35,88,0.102564,0.126961,0.8078,-0.024397,0.5465,1.1311,-0.064292,0.015517,1.2536,0.26287515168293035,0.38195147147028014,1.0,False,False,deficit,False,False,False
目的,2.9879,True,excess,108,172,0.310541,0.24679,1.2583,0.063751,1.0095,1.5071,0.002479,0.117902,4.3983,0.035974013900631395,0.07135481673576356,1.0,False,False,excess,False,False,True
高める,2.9797,True,excess,72,78,0.207977,0.112696,1.8455,0.095281,1.3938,2.5448,0.048211,0.14373,16.1787,5.7637067658537685e-05,0.00024144483068899865,0.09706082193697746,True,False,excess,True,False,True
利点,2.9718,True,excess,12,41,0.037037,0.059914,0.6182,-0.022877,0.3107,1.1235,-0.048539,0.005633,2.387,0.12234854183300399,0.2021932722735807,1.0,False,False,deficit,False,False,False
モニタリング-monitoring,2.9586,True,excess,23,19,0.068376,0.028531,2.3966,0.039845,1.3616,4.3016,0.01277,0.068387,8.0636,0.00451629577413316,0.011917672566573287,1.0,True,False,excess,True,False,True
安全,2.9572,True,excess,91,101,0.262108,0.145506,1.8014,0.116602,1.4214,2.2922,0.066726,0.169331,20.1421,7.189606611686502e-06,3.54014547780119e-05,0.01210729753408007,True,True,excess,True,True,True
DELETE,2.9521,True,excess,33,39,0.096866,0.057061,1.6976,0.039805,1.0651,2.6638,0.004182,0.076897,4.8481,0.027677185891483023,0.057683639902546296,1.0,False,False,excess,False,False,True
リスク-risk,2.9437,True,excess,62,89,0.179487,0.128388,1.398,0.051099,1.0288,1.9162,0.004072,0.101018,4.3402,0.0372219966940403,0.07357023759714068,1.0,False,False,excess,False,False,True
CSP,2.9403,True,excess,16,1,0.048433,0.002853,16.9758,0.04558,6.4907,47.9316,0.025637,0.069799,26.0168,3.3845701804830233e-07,2.167154442560232e-06,0.0005699616183933411,True,True,excess,True,True,True
不変,2.9403,False,excess,5,4,0.017094,0.007133,2.3966,0.009961,0.7989,7.9886,-0.002857,0.022784,1.1347,0.2867694672247564,0.4078714381811569,1.0,False,False,excess,False,False,False
Express,2.9403,False,excess,5,4,0.017094,0.007133,2.3966,0.009961,0.6657,7.9886,-0.002865,0.024214,1.1347,0.2867694672247564,0.4078714381811569,1.0,False,False,excess,False,False,False
纏め,2.9269,True,excess,244,235,0.698006,0.336662,2.0733,0.361344,1.8429,2.3681,0.307203,0.422644,121.4126,3.1038229540535034e-28,2.09073514185044e-26,5.2268378546261e-25,True,True,excess,True,True,True
Flow,2.9131,True,excess,22,13,0.065527,0.019971,3.281,0.045556,1.7466,6.7416,0.019911,0.074058,12.8608,0.00033553040677557975,0.0011845559853460718,0.5650332050100763,True,False,excess,True,False,True
及ぼす,2.8939,False,excess,13,17,0.039886,0.025678,1.5533,0.014208,0.7262,2.8853,-0.008592,0.03559,0.9651,0.32591190734520276,0.45487459390106494,1.0,False,False,excess,False,False,False
原則,2.8751,True,excess,59,61,0.17094,0.088445,1.9327,0.082495,1.3631,2.7164,0.03684,0.126716,14.4904,0.00014087389907826712,0.000546616695962677,0.23723164604780184,True,False,excess,True,False,True
DockerHub,2.8686,False,excess,5,6,0.017094,0.009986,1.7118,0.007108,0.4993,5.1959,-0.005718,0.022772,0.2871,0.5920858373089233,0.7304560806067596,1.0,False,False,excess,False,False,False
使用,2.8552,True,excess,212,381,0.606838,0.544936,1.1136,0.061902,0.9908,1.229,-0.005101,0.120376,3.3364,0.06776066218077413,0.12511946832502593,1.0,False,False,excess,False,False,False
テクニック-technic,2.8527,True,excess,11,22,0.034188,0.03281,1.042,0.001378,0.4821,1.9972,-0.020043,0.022751,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
配慮,2.8418,False,excess,12,15,0.037037,0.022825,1.6227,0.014213,0.7608,3.2696,-0.007169,0.037009,1.0692,0.30113540925668053,0.42578675834445845,1.0,False,False,excess,False,False,False
併用,2.8418,False,excess,11,11,0.034188,0.017118,1.9972,0.01707,0.932,4.5649,-0.001455,0.037025,2.095,0.14777859063229556,0.23588544703771158,1.0,False,False,excess,False,False,False
進める,2.8284,True,excess,76,157,0.219373,0.225392,0.9733,-0.006019,0.7619,1.2446,-0.05874,0.04961,0.0338,0.8541659733223892,0.9538564317472834,1.0,False,False,deficit,False,False,False
ステップ-step,2.8096,True,excess,77,69,0.222222,0.099857,2.2254,0.122365,1.675,2.9961,0.078137,0.172237,27.7339,1.3920176587511802e-07,9.26544560212248e-07,0.00023441577373369875,True,True,excess,True,True,True
監視,2.8032,True,excess,39,43,0.11396,0.062767,1.8156,0.051193,1.2344,2.7235,0.016972,0.088242,7.4227,0.00644074438732314,0.01611621626783383,1.0,True,False,excess,True,False,True
応ずる,2.8017,True,excess,110,114,0.316239,0.164051,1.9277,0.152188,1.5102,2.4567,0.093773,0.206335,30.9859,2.5991259202216375e-08,1.9281621364111178e-07,4.3769280496532374e-05,True,True,excess,True,True,True
通ずる,2.7827,True,excess,51,56,0.148148,0.081312,1.822,0.066836,1.2612,2.5566,0.02408,0.108161,10.3035,0.0013277970751457958,0.0039435807311208465,1.0,True,False,excess,True,False,True
RBAC,2.7827,False,excess,10,4,0.031339,0.007133,4.3937,0.024206,1.6643,17.0007,0.00569,0.042727,7.6104,0.005803259054288481,0.014629772825481738,1.0,True,False,excess,True,False,True
スネーク-snake,2.7827,False,excess,6,4,0.019943,0.007133,2.796,0.01281,0.9078,9.9858,-0.001435,0.028482,2.1328,0.14417600312319945,0.23101083659321398,1.0,False,False,excess,False,False,False
一体,2.7827,False,excess,6,10,0.019943,0.015692,1.2709,0.004251,0.4986,2.9957,-0.010006,0.021353,0.0079,0.9290266144089547,1.0,1.0,False,False,excess,False,False,False
除去,2.7827,False,excess,6,9,0.019943,0.014265,1.398,0.005678,0.4993,3.495,-0.008575,0.02278,0.0761,0.7826720024770065,0.8958869225540558,1.0,False,False,excess,False,False,False
try,2.7696,True,excess,8,20,0.025641,0.029957,0.8559,-0.004316,0.3472,1.7758,-0.022853,0.015647,0.1147,0.7348944916758657,0.8576315481511836,1.0,False,False,deficit,False,False,False
推移,2.7433,True,excess,19,9,0.05698,0.014265,3.9943,0.042715,1.9972,9.5863,0.018457,0.068399,13.8744,0.0001954374158566398,0.000724926450005686,0.32911660830258144,True,False,excess,True,False,True
OAuth,2.7329,True,excess,25,11,0.074074,0.017118,4.3272,0.056956,2.33,9.4865,0.029888,0.086877,20.2247,6.8859277196311936e-06,3.410559494076156e-05,0.01159590227985893,True,True,excess,True,True,True
アプリケーション-application,2.7294,True,excess,150,206,0.430199,0.295292,1.4569,0.134907,1.2112,1.7103,0.067917,0.194761,18.1817,2.0080426150530043e-05,9.164075240512897e-05,0.03381543763749259,True,True,excess,True,True,True
組み込む,2.7004,True,excess,45,59,0.131054,0.085592,1.5311,0.045462,1.0634,2.2322,0.006931,0.088206,4.6439,0.031164880391555676,0.06353711692418858,1.0,False,False,excess,False,False,True
見直す,2.7004,True,excess,31,41,0.091168,0.059914,1.5216,0.031254,0.9822,2.3417,-0.001512,0.068299,2.835,0.09222926025322693,0.1591332728139694,1.0,False,False,excess,False,False,False
Cypress,2.6776,False,excess,7,3,0.022792,0.005706,3.9943,0.017086,1.4979,15.9772,0.004263,0.032757,4.5559,0.03280572063321619,0.06590446401215833,1.0,False,False,excess,False,False,True
下す,2.6776,False,excess,1,8,0.005698,0.012839,0.4438,-0.007141,0.1427,1.3338,-0.017122,0.002841,1.1347,0.2867694672247564,0.4078714381811569,1.0,False,False,deficit,False,False,False
例,2.666,True,excess,203,311,0.581197,0.445078,1.3058,0.136118,1.1585,1.4744,0.074791,0.198892,16.6592,4.4732393710476396e-05,0.00019167773793496757,0.07532935100844225,True,False,excess,True,False,True
インデックス-index,2.6528,True,excess,31,43,0.091168,0.062767,1.4525,0.028401,0.9289,2.2735,-0.005784,0.06545,2.2261,0.13569184270698642,0.22035203772282078,1.0,False,False,excess,False,False,False
本番,2.6495,True,excess,86,86,0.247863,0.124108,1.9972,0.123755,1.5378,2.6629,0.076732,0.176488,24.8227,6.285153493543492e-07,3.93464627625548e-06,0.001058419848312724,True,True,excess,True,True,True
属性,2.6372,True,excess,31,41,0.091168,0.059914,1.5216,0.031254,0.9459,2.4411,-0.004365,0.068275,2.835,0.09222926025322693,0.1591332728139694,1.0,False,False,excess,False,False,False
ア-a,2.6372,False,excess,6,8,0.019943,0.012839,1.5533,0.007104,0.5706,3.9943,-0.007145,0.022784,0.2262,0.6343329065717509,0.7679486805656567,1.0,False,False,excess,False,False,False
軽量,2.6319,True,excess,31,27,0.091168,0.039943,2.2825,0.051225,1.398,3.877,0.018463,0.085425,10.2402,0.001374112600098851,0.004059658979941167,1.0,True,False,excess,True,False,True
ミーティング-meeting,2.6201,True,excess,27,16,0.079772,0.024251,3.2894,0.055521,1.9103,5.9915,0.027027,0.086864,16.1528,5.8432940526169606e-05,0.0002441713941589817,0.09840107184606962,True,False,excess,True,False,True
Environment,2.6026,True,excess,3,9,0.011396,0.014265,0.7989,-0.002869,0.2219,2.4964,-0.015696,0.011384,0.0948,0.7581196220041039,0.8732376494219637,1.0,False,False,deficit,False,False,False
リレーション-relation,2.587,True,excess,17,18,0.051282,0.027104,1.892,0.024178,0.9552,3.4968,-0.001479,0.049862,3.1071,0.07794958978127166,0.13994361321072651,1.0,False,False,excess,False,False,False
フィルタリング-filtering,2.5821,True,excess,15,19,0.045584,0.028531,1.5977,0.017053,0.8472,3.163,-0.005735,0.04275,1.3716,0.241533696911905,0.35804819154898593,1.0,False,False,excess,False,False,False
レビュアー,2.5751,True,excess,23,17,0.068376,0.025678,2.6629,0.042698,1.4586,4.9929,0.015627,0.074054,9.8275,0.0017192128564704008,0.004974492182639441,1.0,True,False,excess,True,False,True
制限,2.5648,True,excess,43,78,0.125356,0.112696,1.1123,0.01266,0.8033,1.586,-0.024373,0.056838,0.1973,0.6568877053990961,0.7901420684943413,1.0,False,False,excess,False,False,False
選定,2.5463,True,excess,39,45,0.11396,0.065621,1.7367,0.04834,1.1256,2.5525,0.009856,0.086795,6.4198,0.011285252164723186,0.02617681080632761,1.0,True,False,excess,True,False,True
スケーラビリティ,2.5463,True,excess,18,14,0.054131,0.021398,2.5297,0.032733,1.278,5.1944,0.008502,0.059792,6.7728,0.009255668727184365,0.022203057174613204,1.0,True,False,excess,True,False,True
受け入れ,2.5463,False,excess,11,7,0.034188,0.011412,2.9957,0.022776,1.2282,7.327,0.002833,0.042727,5.1508,0.02323567345313273,0.049156877003863717,1.0,True,False,excess,True,False,True
対面,2.5463,False,excess,5,9,0.017094,0.014265,1.1983,0.002829,0.3994,3.1398,-0.01142,0.019927,0.0,1.0,1.0,1.0,False,False,excess,False,False,False
保証,2.524,True,excess,61,67,0.176638,0.097004,1.8209,0.079634,1.2968,2.5455,0.03256,0.126661,12.7329,0.00035928662356728765,0.001250079905139075,0.6050386740873124,True,False,excess,True,False,True
Swagger,2.5025,True,excess,17,14,0.051282,0.021398,2.3966,0.029884,1.1983,4.9929,0.005653,0.056956,5.6881,0.017080381418033103,0.037796796725318986,1.0,True,False,excess,True,False,True
イメージ-image,2.4896,True,excess,47,175,0.136752,0.25107,0.5447,-0.114318,0.3875,0.7076,-0.16421,-0.068642,18.0514,2.1502347710309843e-05,9.707762344279296e-05,0.036209953544161774,True,True,deficit,False,False,False
図る,2.484,True,excess,23,31,0.068376,0.045649,1.4979,0.022727,0.8559,2.497,-0.00721,0.052648,1.779,0.18227327908993396,0.281345739676855,1.0,False,False,excess,False,False,False
割合,2.4767,True,excess,4,19,0.014245,0.028531,0.4993,-0.014286,0.1598,1.1412,-0.029965,0.002821,2.0059,0.15668877393372532,0.24752710628929966,1.0,False,False,deficit,False,False,False
低下,2.4478,True,excess,32,32,0.094017,0.047076,1.9972,0.046941,1.28,3.1959,0.01559,0.083983,7.7393,0.005403152277034385,0.013815941362543445,1.0,True,False,excess,True,False,True
見逃す,2.4388,False,excess,8,10,0.025641,0.015692,1.634,0.009949,0.6241,3.9943,-0.007153,0.028478,0.5723,0.4493420267826058,0.5870379930969032,1.0,False,False,excess,False,False,False
基本,2.4212,True,excess,173,273,0.495726,0.39087,1.2683,0.104856,1.098,1.4576,0.039336,0.16906,9.9632,0.0015969876054371152,0.004652815099578031,1.0,True,False,excess,True,False,True
スタイル-style,2.4205,True,excess,43,49,0.125356,0.071327,1.7575,0.054029,1.1786,2.5521,0.015545,0.092518,7.5069,0.0061461862614741345,0.01540205009571792,1.0,True,False,excess,True,False,True
策,2.4149,True,excess,35,48,0.102564,0.0699,1.4673,0.032664,0.9616,2.2191,-0.002967,0.069713,2.7489,0.09732000670461687,0.1660761362806965,1.0,False,False,excess,False,False,False
直面,2.4149,False,excess,12,12,0.037037,0.018545,1.9972,0.018492,0.9396,4.4978,-0.001455,0.042703,2.3506,0.12523455059571995,0.20575120312506576,1.0,False,False,excess,False,False,False
成功,2.3908,True,excess,104,125,0.299145,0.179743,1.6643,0.119402,1.3218,2.0691,0.063828,0.170709,18.5479,1.6568345117547592e-05,7.79360144635479e-05,0.027901093177950146,True,True,excess,True,True,True
概念,2.3851,True,excess,70,94,0.202279,0.135521,1.4926,0.066759,1.1255,1.9446,0.018321,0.113798,7.1549,0.0074760707753992045,0.01851426939084156,1.0,True,False,excess,True,False,True
具体,2.3812,True,excess,124,184,0.356125,0.263909,1.3494,0.092217,1.1167,1.6341,0.032367,0.154916,8.9736,0.002739145421565958,0.007574254334839201,1.0,True,False,excess,True,False,True
レビュイー,2.3774,False,excess,9,6,0.02849,0.009986,2.8531,0.018504,1.1095,8.4879,0.001406,0.037029,3.7283,0.05349906973405906,0.10195969633311862,1.0,False,False,excess,False,False,True
話し合う,2.3774,False,excess,8,13,0.025641,0.019971,1.2839,0.00567,0.4993,2.6644,-0.012855,0.025613,0.0547,0.81513645901801,0.9218870362567689,1.0,False,False,excess,False,False,False
You,2.3774,False,excess,5,5,0.017094,0.008559,1.9972,0.008535,0.6657,6.99,-0.004288,0.022788,0.6184,0.43164641674767323,0.5687735256675132,1.0,False,False,excess,False,False,False
バージョン-version,2.375,True,excess,84,175,0.242165,0.25107,0.9645,-0.008905,0.7721,1.2101,-0.06163,0.049503,0.0775,0.7806881043559291,0.8958869225540558,1.0,False,False,deficit,False,False,False
役割,2.3707,True,excess,71,104,0.205128,0.149786,1.3695,0.055342,1.0465,1.7833,0.008224,0.106641,4.5677,0.03258000778750228,0.06590446401215833,1.0,False,False,excess,False,False,True
シナリオ-scenario,2.3624,True,excess,13,30,0.039886,0.044223,0.9019,-0.004336,0.4659,1.5631,-0.027145,0.019886,0.0758,0.7831030581945191,0.8958869225540558,1.0,False,False,deficit,False,False,False
短い,2.3377,True,excess,11,58,0.034188,0.084165,0.4062,-0.049977,0.2118,0.6783,-0.075647,-0.021467,9.2317,0.002378670188171607,0.0066429197294875396,1.0,True,False,deficit,False,False,False
要素,2.3358,True,excess,132,107,0.378917,0.154066,2.4595,0.224852,2.0139,3.0457,0.173486,0.278994,65.494,5.829196934393018e-16,1.3088490183357122e-14,9.816367637517842e-13,True,True,excess,True,True,True
PR,2.3163,True,excess,45,47,0.131054,0.068474,1.9139,0.062581,1.3177,2.8679,0.024113,0.103897,10.2589,0.001360243873542293,0.004025748124859792,1.0,True,False,excess,True,False,True
伝播,2.3098,False,excess,5,5,0.017094,0.008559,1.9972,0.008535,0.6657,6.6572,-0.004292,0.022784,0.6184,0.43164641674767323,0.5687735256675132,1.0,False,False,excess,False,False,False
REST,2.3014,True,excess,37,75,0.108262,0.108417,0.9986,-0.000154,0.6657,1.4463,-0.040053,0.042594,0.0,1.0,1.0,1.0,False,False,deficit,False,False,False
多,2.2809,True,excess,12,10,0.037037,0.015692,2.3603,0.021345,1.1231,5.4251,0.002816,0.044137,3.6271,0.056844645925198584,0.10709223227002507,1.0,False,False,excess,False,False,True
フック-hook,2.2735,False,excess,7,6,0.022792,0.009986,2.2825,0.012806,0.7989,6.6655,-0.002865,0.0299,1.6454,0.19959009957225926,0.30495046425181144,1.0,False,False,excess,False,False,False
Commits,2.2507,False,excess,9,1,0.02849,0.002853,9.9858,0.025637,3.5949,29.9573,0.009969,0.044153,12.128,0.0004967023320960684,0.0016530567732209074,0.8364467272497792,True,False,excess,True,False,True
